priority_rank,canonical_condition,canonical_condition_id,variant_id,question_id,question_text,contexts,source,reuse_bank_count,current_selection_level,current_urgency,default_selected,required,red_flag,clinical_rationale,follow_up_behavior,current_branching,feedback_action,proposed_text,proposed_selection_level,proposed_urgency,proposed_branching,reviewer,reviewed_at,rationale,disposition,accepted_by,accepted_at,feedback_id,row_type,bank_id,current_bank_version,current_question_version
1,Chronic Back Pain,chronic_back_pain,,ccm.spine.procedure_planned,"Is an injection, imaging study, or spine consultation pending?",intake; monthly_checkin; care_plan_review,new,7,optional,,false,false,false,Identifies time-sensitive coordination needs for planned diagnostic or procedural care.,Review a yes response during routine CCM follow-up.,"{""displayWhen"":[],""followUpTriggers"":[]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.spine.procedure_planned,question,ccm-bank.chronic_back_pain,1,1
1,Chronic Back Pain,chronic_back_pain,,ccm.goal.priority,What health or daily-life goal matters most to you now?,intake; care_plan_review; annual_review,existing,79,optional,,false,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[]}",,,,,,,,,pending,,,question:chronic_back_pain:base:ccm.goal.priority,question,ccm-bank.chronic_back_pain,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.general.health_change,Has your health changed since the last review?,intake; monthly_checkin; care_plan_review; annual_review,existing,81,required,soon,true,true,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""general-health-worse"",""when"":{""operator"":""equals"",""value"":""worse""},""actions"":[{""type"":""flag_for_review"",""code"":""health_worsening"",""urgency"":""soon"",""providerNotification"":false}]}]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.general.health_change,question,ccm-bank.atrial_fibrillation,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.endocrine.heart_racing,Have you had new episodes of a racing or irregular heartbeat?,intake; monthly_checkin; care_plan_review,new,2,recommended,same_day,true,false,true,Screens for a potentially important rhythm symptom.,A yes response creates a same_day clinical-review flag.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-endocrine-heart_racing-yes"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""new_racing_or_irregular_heartbeat"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.endocrine.heart_racing,question,ccm-bank.atrial_fibrillation,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.cardiac.fainting,Have you fainted or nearly fainted since the last review?,intake; monthly_checkin; care_plan_review,new,3,recommended,same_day,true,false,true,Screens for hemodynamic or rhythm-related instability.,A yes response creates a same_day clinical-review flag.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-cardiac-fainting-yes"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""syncope_or_near_syncope"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.cardiac.fainting,question,ccm-bank.atrial_fibrillation,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.anticoag.bleeding,"If you use a blood thinner, have you had unusual bleeding or large unexplained bruises?",intake; monthly_checkin; care_plan_review,new,3,recommended,same_day,true,false,true,Screens for anticoagulant harm without assuming use.,A yes response creates a same_day clinical-review flag.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-anticoag-bleeding-yes"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""possible_anticoagulant_bleeding"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.anticoag.bleeding,question,ccm-bank.atrial_fibrillation,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.medication.has_issue,Are you having any problem taking or obtaining your medications?,intake; monthly_checkin; care_plan_review; annual_review,existing,78,recommended,,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""medication-issue-details"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""show_questions"",""questionIds"":[""ccm.medication.issue_reasons"",""ccm.medication.provider_aware""]}]}]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.medication.has_issue,question,ccm-bank.atrial_fibrillation,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.treatment.plan_barrier,Is anything making it difficult to follow the care plan for this condition?,intake; monthly_checkin; care_plan_review,new,52,recommended,routine,true,false,false,"Identifies adherence, access, understanding, and feasibility barriers without assuming a specific treatment.",A yes response creates a routine coordinator task to identify and address the barrier.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-treatment-plan_barrier-task"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""create_care_coordination_task"",""code"":""condition_care_plan_barrier"",""urgency"":""routine""}]}]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.treatment.plan_barrier,question,ccm-bank.atrial_fibrillation,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.bp.latest_systolic,What was your most recent systolic blood pressure reading?,intake; monthly_checkin; care_plan_review; annual_review,existing,11,optional,urgent,false,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""bp-very-high"",""when"":{""operator"":""greater_than_or_equal"",""value"":180},""actions"":[{""type"":""flag_for_review"",""code"":""very_high_systolic"",""urgency"":""urgent"",""providerNotification"":true}]},{""id"":""bp-low"",""when"":{""operator"":""less_than"",""value"":90},""actions"":[{""type"":""flag_for_review"",""code"":""low_systolic"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.bp.latest_systolic,question,ccm-bank.atrial_fibrillation,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.specialist.visit_change,Has a specialist changed this condition's treatment plan since the last contact?,intake; monthly_checkin; care_plan_review,new,37,optional,routine,false,false,false,Captures treatment changes that may require medication reconciliation or care-plan updates.,A yes response creates a routine coordinator task to reconcile the updated specialist plan.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-specialist-visit_change-task"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""create_care_coordination_task"",""code"":""specialist_plan_reconciliation"",""urgency"":""routine""}]}]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.specialist.visit_change,question,ccm-bank.atrial_fibrillation,1,1
2,Atrial Fibrillation,atrial_fibrillation,,ccm.goal.priority,What health or daily-life goal matters most to you now?,intake; care_plan_review; annual_review,existing,79,optional,,false,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[]}",,,,,,,,,pending,,,question:atrial_fibrillation:base:ccm.goal.priority,question,ccm-bank.atrial_fibrillation,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.general.health_change,Has your health changed since the last review?,intake; monthly_checkin; care_plan_review; annual_review,existing,81,required,soon,true,true,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""general-health-worse"",""when"":{""operator"":""equals"",""value"":""worse""},""actions"":[{""type"":""flag_for_review"",""code"":""health_worsening"",""urgency"":""soon"",""providerNotification"":false}]}]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.general.health_change,question,ccm-bank.peripheral_vascular_disease,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.vascular.walking_leg_pain,Do leg symptoms make you stop when walking and improve with rest?,intake; monthly_checkin; care_plan_review,new,1,recommended,,true,false,false,Screens for activity-related claudication burden.,Review a yes response during routine CCM follow-up.,"{""displayWhen"":[],""followUpTriggers"":[]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.vascular.walking_leg_pain,question,ccm-bank.peripheral_vascular_disease,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.vascular.rest_pain,"Do you have foot or leg pain while resting, especially at night?",intake; monthly_checkin; care_plan_review,new,1,recommended,same_day,true,false,true,Screens for possible advanced limb ischemia.,A yes response creates a same_day clinical-review flag.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-vascular-rest_pain-yes"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""vascular_rest_pain"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.vascular.rest_pain,question,ccm-bank.peripheral_vascular_disease,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.vascular.foot_wound,Do you have a foot or leg sore that is new or not healing?,intake; monthly_checkin; care_plan_review,new,3,recommended,same_day,true,false,true,"Identifies skin breakdown with vascular, diabetes-related, or sensory-loss healing risk.",A yes response creates a same_day clinical-review flag.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-vascular-foot_wound-yes"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""new_or_nonhealing_foot_wound"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.vascular.foot_wound,question,ccm-bank.peripheral_vascular_disease,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.medication.has_issue,Are you having any problem taking or obtaining your medications?,intake; monthly_checkin; care_plan_review; annual_review,existing,78,recommended,,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""medication-issue-details"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""show_questions"",""questionIds"":[""ccm.medication.issue_reasons"",""ccm.medication.provider_aware""]}]}]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.medication.has_issue,question,ccm-bank.peripheral_vascular_disease,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.treatment.plan_barrier,Is anything making it difficult to follow the care plan for this condition?,intake; monthly_checkin; care_plan_review,new,52,recommended,routine,true,false,false,"Identifies adherence, access, understanding, and feasibility barriers without assuming a specific treatment.",A yes response creates a routine coordinator task to identify and address the barrier.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-treatment-plan_barrier-task"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""create_care_coordination_task"",""code"":""condition_care_plan_barrier"",""urgency"":""routine""}]}]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.treatment.plan_barrier,question,ccm-bank.peripheral_vascular_disease,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.function.daily_activity_difficulty,Are health problems making daily activities harder?,intake; monthly_checkin; care_plan_review; annual_review,existing,72,recommended,soon,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""function-review"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""functional_decline"",""urgency"":""soon"",""providerNotification"":false}]}]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.function.daily_activity_difficulty,question,ccm-bank.peripheral_vascular_disease,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.falls.had_fall,Have you fallen since the last review?,intake; monthly_checkin; care_plan_review; annual_review,existing,32,optional,,false,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""fall-flow"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""show_questions"",""questionIds"":[""ccm.falls.date"",""ccm.falls.injury"",""ccm.falls.er_visit"",""ccm.falls.recurring""]}]}]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.falls.had_fall,question,ccm-bank.peripheral_vascular_disease,1,1
3,Peripheral Vascular Disease,peripheral_vascular_disease,,ccm.goal.priority,What health or daily-life goal matters most to you now?,intake; care_plan_review; annual_review,existing,79,optional,,false,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[]}",,,,,,,,,pending,,,question:peripheral_vascular_disease:base:ccm.goal.priority,question,ccm-bank.peripheral_vascular_disease,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.general.health_change,Has your health changed since the last review?,intake; monthly_checkin; care_plan_review; annual_review,existing,81,required,soon,true,true,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""general-health-worse"",""when"":{""operator"":""equals"",""value"":""worse""},""actions"":[{""type"":""flag_for_review"",""code"":""health_worsening"",""urgency"":""soon"",""providerNotification"":false}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.general.health_change,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.diabetes.latest_glucose,What was your most recent blood glucose reading?,intake; monthly_checkin; care_plan_review; annual_review,existing,3,recommended,same_day,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""glucose-low"",""when"":{""operator"":""less_than"",""value"":70},""actions"":[{""type"":""flag_for_review"",""code"":""low_glucose"",""urgency"":""same_day"",""providerNotification"":true}]},{""id"":""glucose-high"",""when"":{""operator"":""greater_than"",""value"":300},""actions"":[{""type"":""flag_for_review"",""code"":""high_glucose"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.diabetes.latest_glucose,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.diabetes.high_pattern,Have glucose readings been above the range in your care plan more often than usual?,intake; monthly_checkin; care_plan_review,new,1,recommended,,true,false,false,Tracks worsening hyperglycemia against the patient's established plan rather than prescribing a target.,Review a yes response during routine CCM follow-up.,"{""displayWhen"":[],""followUpTriggers"":[]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.diabetes.high_pattern,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.diabetes.low_episode,Have you had symptoms of low blood sugar since the last review?,intake; monthly_checkin; care_plan_review; annual_review,existing,3,recommended,same_day,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""low-glucose-review"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""possible_hypoglycemia"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.diabetes.low_episode,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.diabetes.foot_concern,"Do you have a new sore, blister, redness, or numbness in either foot?",intake; monthly_checkin; care_plan_review; annual_review,existing,3,recommended,same_day,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""foot-concern-review"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""diabetic_foot_concern"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.diabetes.foot_concern,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.medication.has_issue,Are you having any problem taking or obtaining your medications?,intake; monthly_checkin; care_plan_review; annual_review,existing,78,recommended,,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""medication-issue-details"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""show_questions"",""questionIds"":[""ccm.medication.issue_reasons"",""ccm.medication.provider_aware""]}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.medication.has_issue,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.treatment.plan_barrier,Is anything making it difficult to follow the care plan for this condition?,intake; monthly_checkin; care_plan_review,new,52,recommended,routine,true,false,false,"Identifies adherence, access, understanding, and feasibility barriers without assuming a specific treatment.",A yes response creates a routine coordinator task to identify and address the barrier.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm-treatment-plan_barrier-task"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""create_care_coordination_task"",""code"":""condition_care_plan_barrier"",""urgency"":""routine""}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.treatment.plan_barrier,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.function.daily_activity_difficulty,Are health problems making daily activities harder?,intake; monthly_checkin; care_plan_review; annual_review,existing,72,recommended,soon,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""function-review"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""flag_for_review"",""code"":""functional_decline"",""urgency"":""soon"",""providerNotification"":false}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.function.daily_activity_difficulty,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,,ccm.goal.priority,What health or daily-life goal matters most to you now?,intake; care_plan_review; annual_review,existing,79,optional,,false,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[]}",,,,,,,,,pending,,,question:type_2_diabetes:base:ccm.goal.priority,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,kidney_complication,ccm.bp.latest_systolic,What was your most recent systolic blood pressure reading?,intake; monthly_checkin; care_plan_review; annual_review,existing,11,recommended,urgent,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""bp-very-high"",""when"":{""operator"":""greater_than_or_equal"",""value"":180},""actions"":[{""type"":""flag_for_review"",""code"":""very_high_systolic"",""urgency"":""urgent"",""providerNotification"":true}]},{""id"":""bp-low"",""when"":{""operator"":""less_than"",""value"":90},""actions"":[{""type"":""flag_for_review"",""code"":""low_systolic"",""urgency"":""same_day"",""providerNotification"":true}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:kidney_complication:ccm.bp.latest_systolic,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,kidney_complication,ccm.specialist.pending_followup,"Is any specialist recommendation, test, or follow-up still incomplete?",intake; monthly_checkin; care_plan_review; annual_review,existing,47,recommended,routine,true,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm.specialist.pending_followup-task"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""create_care_coordination_task"",""code"":""ccm_specialist_pending_followup"",""urgency"":""routine""}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:kidney_complication:ccm.specialist.pending_followup,question,ccm-bank.type_2_diabetes,1,1
4,Type 2 Diabetes,type_2_diabetes,kidney_complication,ccm.coordination.open_need,"Do you need help arranging care, equipment, referrals, records, or services?",intake; monthly_checkin; care_plan_review; annual_review,existing,10,optional,routine,false,false,false,Reuses an established CCM question whose wording and intent fit this condition bank.,Apply the established reusable-question branching and follow-up rules.,"{""displayWhen"":[],""followUpTriggers"":[{""id"":""ccm.coordination.open_need-task"",""when"":{""operator"":""equals"",""value"":true},""actions"":[{""type"":""create_care_coordination_task"",""code"":""ccm_coordination_open_need"",""urgency"":""routine""}]}]}",,,,,,,,,pending,,,question:type_2_diabetes:kidney_complication:ccm.coordination.open_need,question,ccm-bank.type_2_diabetes,1,1
